timestep,time_s,E1_key_x,E1_key_y,E1_key_z,E2_key_x,E2_key_y,E2_key_z,E3_key_x,E3_key_y,E3_key_z,E4_non_key_x,E4_non_key_y,E4_non_key_z,E5_non_key_x,E5_non_key_y,E5_non_key_z,E6_non_key_x,E6_non_key_y,E6_non_key_z,E7_non_key_x,E7_non_key_y,E7_non_key_z,E8_non_key_x,E8_non_key_y,E8_non_key_z,E9_non_key_x,E9_non_key_y,E9_non_key_z,F1_x,F1_y,F1_z,F1_action,F1_action_name,F2_x,F2_y,F2_z,F2_action,F2_action_name,F3_x,F3_y,F3_z,F3_action,F3_action_name
22,11.0,189.926823,83.371634,48.962309,116.985673,20.730525,57.015659,194.243760,144.929973,12.679328,185.993024,101.447542,35.656029,86.564804,8.752955,18.715528,178.331253,165.568828,33.676119,179.645500,196.314337,33.589536,90.873066,77.150023,55.304336,129.269018,56.226933,47.641785,190.097972,80.746850,49.390009,24,-x-y,117.649875,25.000000,59.000000,23,-x+y-z,182.504321,142.821687,8.725974,15,+x-y
23,11.5,187.719911,82.258796,48.586636,116.474732,23.160620,56.726568,191.865640,144.176623,12.843672,188.342703,102.142830,36.151592,84.103173,9.189055,18.701671,176.109999,164.514358,34.127923,178.075070,198.191076,34.101006,91.968676,79.213008,54.413420,131.459234,57.410691,47.414469,187.976651,78.625529,49.390009,24,-x-y,115.917824,26.732051,57.267949,3,+y,184.625641,140.700367,8.725974,10,+x+z
24,12.0,186.220708,80.264588,48.426870,115.228304,25.318073,56.522073,189.890406,142.646247,12.923656,190.572470,103.139290,36.685642,81.854076,10.279894,18.661243,174.176518,163.061558,34.761184,175.991443,199.000000,34.021959,93.615848,80.845710,53.480087,133.935945,57.623661,47.148862,185.855331,76.504209,49.390009,24,-x-y,115.917824,29.732051,57.267949,19,-x+z,186.746961,140.700367,10.847294,10,+x+z
25,12.5,184.721505,78.270380,48.267104,113.981876,27.475525,56.317578,187.915171,141.115871,13.003641,192.802236,104.135751,37.219692,79.604979,11.370732,18.620814,172.243037,161.608757,35.394446,173.907815,197.620779,33.942913,95.263020,82.478412,52.546755,136.412655,57.836631,46.883254,183.734011,74.382889,49.390009,15,+x-y,113.796504,29.732051,59.000000,23,-x+y-z,188.868282,140.700367,12.968614,24,-x-y
26,13.0,183.222303,76.276172,48.107338,112.735449,29.632977,56.113083,185.939937,139.585495,13.083625,195.032002,105.132211,37.753743,77.355882,12.461571,18.580385,170.309555,160.155956,36.027707,171.824188,196.241559,33.863866,96.910191,84.111114,51.613423,138.889366,58.049601,46.617647,185.855331,72.261568,49.390009,24,-x-y,112.064453,31.464102,57.267949,3,+y,186.746961,138.579047,12.968614,24,-x-y
27,13.5,181.723100,74.281964,47.947571,111.489021,31.790429,55.908588,183.964702,138.055119,13.163610,197.261768,106.128671,38.287793,75.106786,13.552409,18.539956,168.376074,158.703155,36.660969,169.740561,194.862338,33.784820,98.557363,85.743816,50.680090,141.366077,58.262571,46.352039,183.734011,70.140248,49.390009,24,-x-y,112.064453,34.464102,57.267949,23,-x+y-z,184.625641,136.457726,12.968614,24,-x-y
28,14.0,180.730543,71.990165,48.059323,110.366619,34.021301,55.792728,182.063985,136.437851,13.016235,199.000000,106.494503,38.773990,72.944801,14.807494,18.515703,167.433969,156.399483,36.896617,167.961592,193.121999,33.547143,100.652200,86.617696,49.632238,143.632137,57.281450,45.961687,181.612690,68.018928,49.390009,24,-x-y,110.332402,36.196152,55.535898,3,+y,182.504321,134.336406,12.968614,24,-x-y
29,14.5,179.737985,69.698366,48.171075,109.244217,36.252173,55.676868,180.163269,134.820582,12.868860,196.575174,106.860335,39.260186,70.782817,16.062578,18.491449,166.491865,154.095810,37.132264,166.182623,191.381661,33.309466,102.747037,87.491576,48.584386,145.898196,56.300328,45.571335,179.491370,65.897607,49.390009,15,+x-y,110.332402,39.196152,55.535898,23,-x+y-z,180.383000,132.215086,12.968614,24,-x-y
30,15.0,178.745428,67.406568,48.282826,108.121815,38.483045,55.561007,178.262552,133.203314,12.721486,194.150348,107.226167,39.746383,68.620833,17.317662,18.467196,165.549760,151.792137,37.367912,164.403653,189.641323,33.071789,104.841873,88.365455,47.536535,148.164256,55.319207,45.180982,181.612690,63.776287,49.390009,24,-x-y,108.600351,40.928203,53.803848,19,-x+z,178.261680,130.093765,12.968614,24,-x-y
31,15.5,177.752870,65.114769,48.394578,106.999413,40.713917,55.445147,176.361836,131.586045,12.574111,191.725523,107.591998,40.232580,66.458849,18.572746,18.442942,164.607655,149.488464,37.603560,162.624684,187.900984,32.834112,106.936710,89.239335,46.488683,150.430315,54.338086,44.790630,179.491370,61.654967,49.390009,24,-x-y,106.479031,40.928203,55.925168,23,-x+y-z,176.140360,127.972445,12.968614,24,-x-y
32,16.0,177.481379,62.630737,48.317922,105.330473,42.574441,55.389529,175.018092,129.492920,12.825469,189.766674,108.960518,40.967470,65.255459,20.736189,18.094563,164.856597,147.002162,37.683136,161.193040,185.860160,32.645880,109.265398,88.644540,45.800618,152.325920,52.759345,44.385338,177.370050,59.533646,49.390009,15,+x-y,104.746980,42.660254,54.193117,3,+y,174.019039,125.851124,12.968614,10,+x+z
33,16.5,177.209888,60.146704,48.241265,103.661533,44.434964,55.333912,173.674349,127.399795,13.076827,187.807825,110.329038,41.702361,64.052068,22.899631,17.746185,165.105538,144.515861,37.762713,159.761396,183.819335,32.457648,111.594085,88.049745,45.112553,154.221525,51.180605,43.980045,179.491370,57.412326,49.390009,24,-x-y,104.746980,45.660254,54.193117,23,-x+y-z,176.140360,125.851124,15.089935,24,-x-y
34,17.0,176.938397,57.662672,48.164609,101.992594,46.295487,55.278294,172.330605,125.306670,13.328185,185.848975,111.697557,42.437251,62.848678,25.063074,17.397806,165.354480,142.029559,37.842290,158.329753,181.778511,32.269415,113.922773,87.454950,44.424489,156.117130,49.601865,43.574753,177.370050,55.291006,49.390009,24,-x-y,103.014929,47.392305,52.461066,22,-x+y+z,174.019039,123.729804,15.089935,24,-x-y
35,17.5,176.666905,55.178640,48.087953,100.323654,48.156010,55.222677,170.986862,123.213545,13.579543,183.890126,113.066077,43.172142,61.645288,27.226516,17.049428,165.603421,139.543258,37.921866,156.898109,179.737686,32.081183,116.251461,86.860155,43.736424,158.012734,48.023125,43.169461,175.248729,53.169685,49.390009,15,+x-y,101.282879,49.124356,54.193117,22,-x+y+z,171.897719,121.608484,15.089935,24,-x-y
36,18.0,177.012458,52.717126,47.820480,98.821540,50.154350,55.239790,170.111245,120.872016,13.556296,182.152652,114.647464,44.026776,60.347590,29.349124,16.803425,165.660995,137.044188,37.958457,155.204673,177.900643,32.168064,117.385019,84.836765,42.803184,159.020910,45.758299,42.846744,177.370050,51.048365,49.390009,24,-x-y,99.550828,50.856406,55.925168,23,-x+y-z,169.776399,119.487163,15.089935,24,-x-y
37,18.5,177.358011,50.255611,47.553008,97.319427,52.152690,55.256903,169.235629,118.530488,13.533049,180.415179,116.228851,44.881410,59.049893,31.471732,16.557423,165.718568,134.545119,37.995047,153.511237,176.063600,32.254944,118.518578,82.813375,41.869944,160.029086,43.493473,42.524027,175.248729,48.927045,49.390009,15,+x-y,97.818777,52.588457,54.193117,22,-x+y+z,167.655078,117.365843,15.089935,15,+x-y
38,19.0,177.703564,47.794097,47.285536,95.817314,54.151030,55.274016,168.360012,116.188960,13.509802,178.677705,117.810238,45.736043,57.752196,33.594340,16.311421,165.776141,132.046050,38.031638,151.817801,174.226557,32.341825,119.652136,80.789984,40.936703,161.037261,41.228647,42.201311,177.370050,46.805724,49.390009,24,-x-y,96.086726,54.320508,55.925168,23,-x+y-z,169.776399,115.244523,15.089935,24,-x-y
39,19.5,178.049116,45.332583,47.018064,94.315200,56.149370,55.291129,167.484396,113.847431,13.486556,176.940231,119.391626,46.590677,56.454498,35.716948,16.065419,165.833714,129.546981,38.068228,150.124366,172.389514,32.428705,120.785694,78.766594,40.003463,162.045437,38.963821,41.878594,175.248729,44.684404,49.390009,15,+x-y,94.354675,56.052559,54.193117,22,-x+y+z,167.655078,113.123202,15.089935,24,-x-y
40,20.0,179.185020,43.118693,46.776374,92.501995,57.858268,55.495951,166.981423,111.403914,13.648554,175.203784,120.964400,47.463108,55.054104,37.738943,15.617722,166.437322,127.135782,38.336141,148.366538,170.624641,32.641462,121.269447,76.543970,38.966194,162.731237,36.596365,41.460469,177.370050,42.563083,49.390009,,,92.622625,57.784610,55.925168,,,165.533758,111.001882,15.089935,,
