timestep,time_s,E1_key_x,E1_key_y,E1_key_z,E2_key_x,E2_key_y,E2_key_z,E3_key_x,E3_key_y,E3_key_z,E4_non_key_x,E4_non_key_y,E4_non_key_z,E5_non_key_x,E5_non_key_y,E5_non_key_z,E6_non_key_x,E6_non_key_y,E6_non_key_z,E7_non_key_x,E7_non_key_y,E7_non_key_z,E8_non_key_x,E8_non_key_y,E8_non_key_z,E9_non_key_x,E9_non_key_y,E9_non_key_z,F1_x,F1_y,F1_z,F1_action,F1_action_name,F2_x,F2_y,F2_z,F2_action,F2_action_name,F3_x,F3_y,F3_z,F3_action,F3_action_name
31,15.5,177.752870,65.114769,48.394578,106.999413,40.713917,55.445147,176.361836,131.586045,12.574111,184.052127,109.021699,52.700288,109.115684,45.159588,37.273034,180.563775,129.051553,10.689015,183.166103,136.865130,25.943255,118.598411,52.363791,47.724613,160.984699,47.997661,47.995224,199.000000,33.542695,59.000000,15,+x-y,199.000000,1.000000,56.192177,15,+x-y,152.769791,88.944552,59.000000,15,+x-y
32,16.0,177.481379,62.630737,48.317922,105.330473,42.574441,55.389529,175.018092,129.492920,12.825469,183.405913,111.322209,53.435179,109.824864,47.531443,36.924656,180.477699,126.554303,10.768592,183.407834,134.383974,25.755023,120.911952,51.772864,46.984118,162.880304,46.418920,47.589932,199.000000,31.421375,59.000000,15,+x-y,199.000000,1.000000,56.192177,15,+x-y,154.891111,86.823232,59.000000,15,+x-y
33,16.5,177.209888,60.146704,48.241265,103.661533,44.434964,55.333912,173.674349,127.399795,13.076827,182.759700,113.622719,54.170069,110.534043,49.903299,36.576277,180.391623,124.057053,10.848168,183.649566,131.902818,25.566791,123.225493,51.181938,46.243623,164.775909,44.840180,47.184640,199.000000,29.300055,59.000000,15,+x-y,199.000000,1.000000,56.192177,15,+x-y,157.012432,84.701911,59.000000,7,-y+z
34,17.0,176.938397,57.662672,48.164609,101.992594,46.295487,55.278294,172.330605,125.306670,13.328185,182.113487,115.923228,54.904959,111.243223,52.275154,36.227898,180.305548,121.559802,10.927745,183.891297,129.421663,25.378558,125.539035,50.591012,45.503129,166.671514,43.261440,46.779347,199.000000,27.178734,59.000000,15,+x-y,199.000000,1.000000,56.192177,15,+x-y,157.012432,82.580591,59.000000,7,-y+z
35,17.5,176.666905,55.178640,48.087953,100.323654,48.156010,55.222677,170.986862,123.213545,13.579543,181.467274,118.223738,55.639850,111.952402,54.647009,35.879520,180.219472,119.062552,11.007322,184.133029,126.940507,25.190326,127.852576,50.000086,44.762634,168.567119,41.682700,46.374055,199.000000,25.057414,59.000000,15,+x-y,199.000000,1.000000,56.192177,15,+x-y,157.012432,80.459271,59.000000,7,-y+z
36,18.0,177.012458,52.717126,47.820480,98.821540,50.154350,55.239790,170.111245,120.872016,13.556296,180.968418,120.519548,56.494484,112.372336,57.099179,35.633518,179.975415,116.574763,11.043912,183.866758,124.456246,25.277207,128.976931,47.993123,43.783897,169.575294,39.417874,46.051339,199.000000,22.936094,59.000000,15,+x-y,199.000000,1.000000,56.192177,15,+x-y,157.012432,78.337950,59.000000,15,+x-y
37,18.5,177.358011,50.255611,47.553008,97.319427,52.152690,55.256903,169.235629,118.530488,13.533049,180.469562,122.815358,57.349118,112.792269,59.551349,35.387515,179.731359,114.086973,11.080503,183.600488,121.971985,25.364087,130.101287,45.986161,42.805159,170.583470,37.153048,45.728622,199.000000,20.814773,59.000000,15,+x-y,199.000000,1.000000,56.192177,15,+x-y,159.133752,76.216630,59.000000,7,-y+z
38,19.0,177.703564,47.794097,47.285536,95.817314,54.151030,55.274016,168.360012,116.188960,13.509802,179.970705,125.111168,58.203752,113.212202,62.003520,35.141513,179.487302,111.599183,11.117093,183.334217,119.487724,25.450968,131.225642,43.979198,41.826422,171.591645,34.888222,45.405905,199.000000,18.693453,59.000000,7,-y+z,199.000000,1.000000,56.192177,15,+x-y,159.133752,74.095309,59.000000,7,-y+z
39,19.5,178.049116,45.332583,47.018064,94.315200,56.149370,55.291129,167.484396,113.847431,13.486556,179.471849,127.406978,59.000000,113.632135,64.455690,34.895511,179.243246,109.111393,11.153684,183.067946,117.003464,25.537848,132.349997,41.972236,40.847684,172.599821,32.623397,45.083189,199.000000,16.572133,59.000000,15,+x-y,199.000000,1.000000,56.192177,15,+x-y,159.133752,71.973989,59.000000,7,-y+z
40,20.0,179.185020,43.118693,46.776374,92.501995,57.858268,55.495951,166.981423,111.403914,13.648554,178.810369,129.722765,58.329497,113.732405,66.913232,34.447814,179.581610,106.648929,11.421596,182.550572,114.566856,25.750605,132.829763,39.767927,39.770258,173.285622,30.255940,44.665064,199.000000,14.450812,59.000000,,,199.000000,1.000000,56.192177,,,159.133752,69.852669,59.000000,,
