timestep,time_s,E1_key_x,E1_key_y,E1_key_z,E2_key_x,E2_key_y,E2_key_z,E3_key_x,E3_key_y,E3_key_z,E4_non_key_x,E4_non_key_y,E4_non_key_z,E5_non_key_x,E5_non_key_y,E5_non_key_z,E6_non_key_x,E6_non_key_y,E6_non_key_z,F1_x,F1_y,F1_z,F1_action,F1_action_name,F2_x,F2_y,F2_z,F2_action,F2_action_name,F3_x,F3_y,F3_z,F3_action,F3_action_name
25,12.5,184.721505,78.270380,48.267104,113.981876,27.475525,56.317578,187.915171,141.115871,13.003641,132.476627,75.230494,41.064343,171.292550,62.821325,49.626698,74.723200,195.315912,5.446202,184.451466,75.243379,48.392451,24,-x-y,114.776977,28.606806,55.874004,21,-x+y,185.603725,138.939012,13.189330,24,-x-y
26,13.0,183.222303,76.276172,48.107338,112.735449,29.632977,56.113083,185.939937,139.585495,13.083625,133.749688,73.100611,41.369159,173.687257,63.491648,49.369702,72.381683,196.103872,5.828849,182.330145,73.122059,48.392451,17,+x-y-z,112.655656,30.728126,55.874004,21,-x+y,183.482404,136.817691,13.189330,24,-x-y
27,13.5,181.723100,74.281964,47.947571,111.489021,31.790429,55.908588,183.964702,138.055119,13.163610,135.022750,70.970728,41.673976,176.081964,64.161971,49.112706,70.040166,196.891831,6.211496,184.062196,71.390008,46.660400,24,-x-y,110.534336,32.849447,55.874004,3,+y,181.361084,134.696371,13.189330,24,-x-y
28,14.0,180.730543,71.990165,48.059323,110.366619,34.021301,55.792728,182.063985,136.437851,13.016235,136.674195,69.111409,41.930218,178.550139,64.478326,48.871806,67.540291,196.906705,6.191414,181.940876,69.268687,46.660400,24,-x-y,110.534336,35.849447,55.874004,21,-x+y,179.239764,132.575051,13.189330,19,-x+z
29,14.5,179.737985,69.698366,48.171075,109.244217,36.252173,55.676868,180.163269,134.820582,12.868860,138.325640,67.252089,42.186461,181.018314,64.794681,48.630906,65.040416,196.921579,6.171332,179.819555,67.147367,46.660400,15,+x-y,108.413016,37.970767,55.874004,21,-x+y,177.118443,132.575051,15.310650,17,+x-y-z
30,15.0,178.745428,67.406568,48.282826,108.121815,38.483045,55.561007,178.262552,133.203314,12.721486,139.977085,65.392770,42.442704,183.486488,65.111036,48.390007,62.540541,196.936453,6.151250,181.940876,65.026047,46.660400,24,-x-y,106.291695,40.092087,55.874004,5,+y-z,178.850494,130.843000,13.578600,24,-x-y
31,15.5,177.752870,65.114769,48.394578,106.999413,40.713917,55.445147,176.361836,131.586045,12.574111,141.628530,63.533451,42.698947,185.954663,65.427390,48.149107,60.040666,196.951327,6.131169,179.819555,62.904726,46.660400,24,-x-y,106.291695,42.213408,53.752684,21,-x+y,176.729174,128.721680,13.578600,24,-x-y
32,16.0,177.481379,62.630737,48.317922,105.330473,42.574441,55.389529,175.018092,129.492920,12.825469,143.637192,62.135060,43.208635,188.122523,64.316139,47.587407,57.647112,196.251468,5.954825,177.698235,60.783406,46.660400,15,+x-y,104.170375,44.334728,53.752684,21,-x+y,174.607853,126.600359,13.578600,24,-x-y
33,16.5,177.209888,60.146704,48.241265,103.661533,44.434964,55.333912,173.674349,127.399795,13.076827,145.645854,60.736670,43.718323,190.290382,63.204888,47.025708,55.253558,195.551610,5.778482,179.819555,58.662086,46.660400,24,-x-y,102.049055,46.456048,53.752684,3,+y,172.486533,124.479039,13.578600,24,-x-y
34,17.0,176.938397,57.662672,48.164609,101.992594,46.295487,55.278294,172.330605,125.306670,13.328185,147.654516,59.338280,44.228012,192.458242,62.093637,46.464008,52.860004,194.851751,5.602138,177.698235,56.540765,46.660400,24,-x-y,102.049055,49.456048,53.752684,21,-x+y,170.365213,122.357719,13.578600,24,-x-y
35,17.5,176.666905,55.178640,48.087953,100.323654,48.156010,55.222677,170.986862,123.213545,13.579543,149.663178,57.939890,44.737700,194.626101,60.982386,45.902308,50.466450,194.151892,5.425795,175.576915,54.419445,46.660400,15,+x-y,99.927734,51.577369,53.752684,21,-x+y,168.243892,120.236398,13.578600,15,+x-y
36,18.0,177.012458,52.717126,47.820480,98.821540,50.154350,55.239790,170.111245,120.872016,13.556296,152.067202,57.674508,45.370346,196.794000,59.825709,45.441536,48.496327,192.628552,5.206589,177.698235,52.298125,46.660400,15,+x-y,97.806414,53.698689,53.752684,21,-x+y,170.365213,118.115078,13.578600,24,-x-y
37,18.5,177.358011,50.255611,47.553008,97.319427,52.152690,55.256903,169.235629,118.530488,13.533049,154.471226,57.409127,46.002991,198.961900,58.669033,44.980765,46.526204,191.105212,4.987382,179.819555,50.176804,46.660400,24,-x-y,95.685094,55.820009,53.752684,21,-x+y,168.243892,115.993758,13.578600,24,-x-y
38,19.0,177.703564,47.794097,47.285536,95.817314,54.151030,55.274016,168.360012,116.188960,13.509802,156.875250,57.143746,46.635637,199.000000,57.512356,44.519993,44.556081,189.581872,4.768176,177.698235,48.055484,46.660400,15,+x-y,93.563773,57.941330,53.752684,5,+y-z,166.122572,113.872437,13.578600,15,+x-y
39,19.5,178.049116,45.332583,47.018064,94.315200,56.149370,55.291129,167.484396,113.847431,13.486556,159.279275,56.878365,47.268283,196.832100,56.355679,44.059221,42.585958,188.058533,4.548969,179.819555,45.934164,46.660400,24,-x-y,93.563773,60.062650,51.631364,21,-x+y,168.243892,111.751117,13.578600,24,-x-y
40,20.0,179.185020,43.118693,46.776374,92.501995,57.858268,55.495951,166.981423,111.403914,13.648554,161.445757,57.942597,47.919256,195.005575,54.781135,43.399966,41.883325,185.659334,4.561317,177.698235,43.812843,46.660400,,,91.442453,62.183970,51.631364,,,166.122572,109.629797,13.578600,,
